epoch,mIoU,step,train/batches,train/device/batches_per_sec,train/device/samples_per_sec,train/samples,train/time,train_loss_epoch,train_loss_step,val_loss_epoch,val_loss_step,validate/batches,validate/device/batches_per_sec,validate/device/samples_per_sec,validate/samples,validate/time
,,232,,,,,,,,,0.3591577112674713,,,,,
,,233,,,,,,,,,0.34443265199661255,,,,,
,,234,,,,,,,,,0.5074847340583801,,,,,
,,235,,,,,,,,,0.38097184896469116,,,,,
,,236,,,,,,,,,0.48559311032295227,,,,,
,,237,,,,,,,,,0.3876732587814331,,,,,
,,238,,,,,,,,,0.8716337084770203,,,,,
,,239,,,,,,,,,0.9177313446998596,,,,,
,,240,,,,,,,,,0.6622475981712341,,,,,
,,241,,,,,,,,,0.39133697748184204,,,,,
,,242,,,,,,,,,0.4340263605117798,,,,,
,,243,,,,,,,,,0.2512146830558777,,,,,
,,244,,,,,,,,,0.3597831726074219,,,,,
,,245,,,,,,,,,0.7343481779098511,,,,,
,,246,,,,,,,,,0.5244454741477966,,,,,
,,247,,,,,,,,,0.9819023609161377,,,,,
,,248,,,,,,,,,0.33771756291389465,,,,,
,,250,,,,,,,,,,250,4.3521134672804695,4.3521134672804695,250,58.97301249951124
,,249,,,,,,,,,0.36154142022132874,,,,,
,,250,,,,,,,,,0.35371747612953186,,,,,
,,251,,,,,,,,,0.3538617789745331,,,,,
,,252,,,,,,,,,0.9812232255935669,,,,,
,,253,,,,,,,,,0.5193542242050171,,,,,
,,254,,,,,,,,,0.32505449652671814,,,,,
,,255,,,,,,,,,0.3718009889125824,,,,,
,,256,,,,,,,,,0.9171872735023499,,,,,
,,257,,,,,,,,,1.3708432912826538,,,,,
,,258,,,,,,,,,0.5614147186279297,,,,,
,,259,,,,,,,,,0.5715962648391724,,,,,
,,260,,,,,,,,,0.41583436727523804,,,,,
,,261,,,,,,,,,0.958208441734314,,,,,
,,262,,,,,,,,,1.5950838327407837,,,,,
,,263,,,,,,,,,0.6571018099784851,,,,,
,,264,,,,,,,,,0.6181323528289795,,,,,
,,265,,,,,,,,,0.4219638407230377,,,,,
,,266,,,,,,,,,0.47866156697273254,,,,,
,,267,,,,,,,,,0.5491525530815125,,,,,
,,268,,,,,,,,,1.630552053451538,,,,,
,,269,,,,,,,,,1.0137460231781006,,,,,
,,270,,,,,,,,,0.4464462697505951,,,,,
,,271,,,,,,,,,0.43305766582489014,,,,,
,,272,,,,,,,,,0.37008538842201233,,,,,
,,273,,,,,,,,,0.6724897027015686,,,,,
,,274,,,,,,,,,0.38667669892311096,,,,,
,,275,,,,,,,,,0.35061848163604736,,,,,
,,276,,,,,,,,,1.1500442028045654,,,,,
,,277,,,,,,,,,1.5374282598495483,,,,,
,,278,,,,,,,,,1.897807002067566,,,,,
,,279,,,,,,,,,1.5583629608154297,,,,,
,,280,,,,,,,,,0.4846847951412201,,,,,
,,281,,,,,,,,,1.0960016250610352,,,,,
,,282,,,,,,,,,0.6196339130401611,,,,,
,,283,,,,,,,,,1.6920034885406494,,,,,
,,284,,,,,,,,,0.8958525061607361,,,,,
,,285,,,,,,,,,1.2849705219268799,,,,,
,,286,,,,,,,,,0.9591710567474365,,,,,
,,287,,,,,,,,,1.03092360496521,,,,,
,,288,,,,,,,,,1.2925963401794434,,,,,
,,289,,,,,,,,,1.7363044023513794,,,,,
,,290,,,,,,,,,1.1791406869888306,,,,,
,,291,,,,,,,,,0.9937301874160767,,,,,
,,292,,,,,,,,,1.1030900478363037,,,,,
,,293,,,,,,,,,0.7027947902679443,,,,,
,,294,,,,,,,,,0.6905842423439026,,,,,
,,295,,,,,,,,,0.600092351436615,,,,,
,,296,,,,,,,,,1.5802876949310303,,,,,
,,297,,,,,,,,,0.7215890288352966,,,,,
,,298,,,,,,,,,1.277490258216858,,,,,
,,300,,,,,,,,,,300,4.51804996211128,4.51804996211128,300,70.3673759251833
,,299,,,,,,,,,0.38338375091552734,,,,,
,,300,,,,,,,,,0.4010530114173889,,,,,
,,301,,,,,,,,,0.7980279326438904,,,,,
,,302,,,,,,,,,0.6800631880760193,,,,,
,,303,,,,,,,,,0.9675057530403137,,,,,
,,304,,,,,,,,,0.5918968915939331,,,,,
,,305,,,,,,,,,0.5613921880722046,,,,,
,,306,,,,,,,,,0.5549985766410828,,,,,
,,307,,,,,,,,,2.1387722492218018,,,,,
,,308,,,,,,,,,0.5088223218917847,,,,,
,,309,,,,,,,,,0.5617275834083557,,,,,
,,310,,,,,,,,,0.9912610054016113,,,,,
,,311,,,,,,,,,0.37103351950645447,,,,,
,,312,,,,,,,,,3.8700387477874756,,,,,
,,313,,,,,,,,,1.5359681844711304,,,,,
,,314,,,,,,,,,3.4752955436706543,,,,,
,,315,,,,,,,,,1.9450840950012207,,,,,
,,316,,,,,,,,,1.3777958154678345,,,,,
,,317,,,,,,,,,1.7682526111602783,,,,,
,,318,,,,,,,,,0.9731820225715637,,,,,
,,319,,,,,,,,,2.3149070739746094,,,,,
,,320,,,,,,,,,0.7024174332618713,,,,,
,,321,,,,,,,,,0.6426699757575989,,,,,
,,322,,,,,,,,,0.4972164034843445,,,,,
,,323,,,,,,,,,0.591048538684845,,,,,
,,324,,,,,,,,,0.895572304725647,,,,,
,,325,,,,,,,,,0.6547800302505493,,,,,
,,326,,,,,,,,,0.5055256485939026,,,,,
,,327,,,,,,,,,0.21001240611076355,,,,,
,,328,,,,,,,,,0.462332159280777,,,,,
,,329,,,,,,,,,0.3155940771102905,,,,,
,,330,,,,,,,,,0.4764513075351715,,,,,
,,331,,,,,,,,,0.42014411091804504,,,,,
,,332,,,,,,,,,0.37421444058418274,,,,,
